tournament_id,team_id,team_name,year,top5_league_count,connectivity,population,gdp_usd,gdp_per_capita,fifa_rank
WC-2026,T-31,Germany,2026,25,29,83516593,4456081016706,53355.64,10
WC-2026,T-32,Ghana,2026,12,3,34427414,76370394412,2218.3,73
WC-2026,T-34,Haiti,2026,4,0,11772557,19850829758,1686.2,83
WC-2026,T-38,Iran,2026,0,0,91567738,401504514719,4384.78,20
WC-2026,T-39,Iraq,2026,0,0,46042015,250842782139,5448.13,57
WC-2026,T-42,Ivory Coast,2026,12,0,31934230,78788828907,2467.22,33
WC-2026,T-44,Japan,2026,12,0,123975371,4212945159781,33982.11,18
WC-2026,T-91,Jordan,2026,1,0,11552876,50813642349,4398.35,63
WC-2026,T-46,Mexico,2026,5,0,130861007,1788886821047,13670.13,14
WC-2026,T-47,Morocco,2026,15,1,38081173,141109373209,3705.49,7
WC-2026,T-48,Netherlands,2026,22,10,17993485,1118124749886,62140.53,8
WC-2026,T-49,New Zealand,2026,1,0,5287500,253465703232,47936.78,85
WC-2026,T-53,Norway,2026,17,1,5572279,485513316504,87130.12,31
WC-2026,T-54,Panama,2026,0,0,4515577,83382400000,18465.5,34
WC-2026,T-55,Paraguay,2026,4,0,6929153,42956263544,6199.35,41
WC-2026,T-58,Portugal,2026,17,10,10694681,287080013574,26843.25,5
WC-2026,T-59,Qatar,2026,0,0,2857822,235770403735,82500.03,56
WC-2026,T-63,Saudi Arabia,2026,1,0,35300280,1067582933333,30242.9,61
WC-2026,T-64,Scotland,2026,11,1,5607306,250502428550,44674.29,42
WC-2026,T-65,Senegal,2026,20,4,18501984,31013986429,1676.25,15
WC-2026,T-70,South Africa,2026,1,0,64007187,377781600986,5902.17,60
WC-2026,T-71,South Korea,2026,5,0,51751065,1712792854202,33096.77,25
WC-2026,T-73,Spain,2026,26,37,48848840,1580694712516,32358.9,2
WC-2026,T-74,Sweden,2026,14,0,10569709,593267701033,56129.05,38
WC-2026,T-75,Switzerland,2026,23,1,9005582,884940402230,98265.76,19
WC-2026,T-79,Tunisia,2026,7,0,12277109,48529595417,3952.85,45
WC-2026,T-80,Turkey,2026,9,0,85518661,1108022373260,12956.5,22
WC-2026,T-83,United States,2026,13,1,340110988,27360935000000,80447.08,17
WC-2026,T-84,Uruguay,2026,8,0,3386588,77240831587,22807.86,16
WC-2026,T-93,Uzbekistan,2026,1,0,36361859,90889149307,2499.57,50
